佛	Buddha
垄	ridge
孝	filial piety
柴	Firewood
798国际艺术区	798 International Art Zone
AAAA级旅游景区	4A-Level Tourist Attraction
QQ群	QQ Group
一周年纪念日	anniversary
一脉相承	share the same origin
万佛忏	Ten Thousand Buddha's Repentance
万佛圣城	the City of  Ten Thousand Buddhas
万缘茶棚	Wan Yuan tea shed
三宝	the Three Jewels
三十二篆金刚经	Diamond Sutra in 31 Seal Characters with sutra
三十五佛忏	The thirty-five Buddhas of confession
三坛大戒	Triple-platform Ordination
三步一拜	three-step-one-bow pilgrimage
三藏十二部佛典	the Tripitaka and the twelve Divisions
三藏大法师	Tripitaka Mahapandit
上殿	attend the morning and evening recitations
上路	started on the right track
上品戒	great percept
上大供	making great offerings
上座部	Theravada
上方寺	Shangfang Temple
上晚殿	attend the evening recitation
上求佛道	seeking the Buddha's path above
下化众生	Transforming Sentient Beings
不可思议	remarkable;incredible
不断进取	keep forging ahead
不治之症	incurable illness
不辞劳苦	work hard
与人为善	being kind to others
与时俱进	keep pace with times
专注	concentration on;focus on
专栏作家	columnist
专题报道	special report
专题访谈	special interview; exclusive interview
世俗	secular
世尊	Shakyamuni Buddha
世间	mundane
世出世间	mundane and supramundane
世界与传统宗教领袖大会	World and Traditional Religious Leader Conference
世界佛教徒联谊会	World Fellowship of Buddhists (WFB)
世界佛教论坛	World Buddhist Forum
世界和平祈愿法会	world peace prayer Dharma assembly
世界宗教和平会议	World Assembly of Religions for Peace
世界宗教和平祈祷法会	The World Religious Praying Dharma Assembly for World Peace
世界宗教研究所	Institute of World Religions
世界宗教者和平祈祷集会	Interreligious Gathering of Prayer for World Peace
世界无烟日	World No-Tobacco Day
世间法	mundane dharma
业缘	karmic connections
丛林	The Monastery
丛林学院化，学院丛林化	the academic monastery, the monastic academy
东张西望	look around
东方文化	Asian culture
东西方文明	Eastern and Western human civilizations
东配楼	East Wing Building;East Side Building
两会	the China NPC & CPPCC Sessions
两岸	from both sides of the Straits
两序大众	the Sangha and laypeople
严持戒律	strictly observe precepts
中医	Traditional Chinese Medicine
中线	middle line
中视	Taiwan CTV
中佛罗里达州大学	University of Central Florida
中共中央政治局常委	the Standing Committee of the Central Political Bureau of the CPC
中共北京市委统战部	the United Front Work Department of CPC BeijingMunicipal Committee
中华传统节日	Chinese traditional festival
中华儿女	China People
中华全国青年联合会	All-China Youth Federation (ACYF)
中华大藏经	Chinese Tripitaka
中华宗教文化交流协会	China Religious Culture Communication Association
中华少年儿童慈善救助基金会	China Charities Aid Foundation for Children
中华文化	Chinese culture
中华文明	Chinese civilization
中华民族	Chinese
中华民间灾害联合救助行动	Chinese Non-governmental Joint Action of Calamity Salvation
中华社会救助基金会	China Social Assistance Foundation
中华维鬘学会	Amala Association of China
中南海	Zhongnanhai
中台禅寺	Chung Tai Chan Monastery
中国人民公安大学	Chinese People’s Public Security University
中国人民大学	Renmin University of China
中国人民大学佛教与宗教学理论研究所	the Institute for the Study of Buddhism and Religious Theory of Renmin University of China
中国人民大学国学院汉藏佛学研究中心	The Research Center for the Sino-Tibetan Buddhism Study, School of Chinese Classics, Renmin University of China (RUC),
中国人民大学国际佛学中心	International Centre for Buddhist Studies of Renmin University of China
中国人民大学国际关系学院	International Studies School of Renmin University of China (RUC)
中国人民大学培训学院	Training College of Renmin University of China
中国人民大学汉青经济与金融高级研究院	the Hanqing Advanced Instituteof Economics and Finance of Renmin University ofChina
中国人民大学法学院法律与宗教研究中心	the Law & Religion Research Center of Law School, Renmin University of China
中国人民大学法律与宗教研究中心	the Research Center for Law and Religion of RUC
中国传媒大学	the Communication University of China
中国传统文化	Chinese traditional culture
中国佛学院	Buddhist Academy of China
中国佛教代表团	Chinese Buddhist delegation
中国佛教协会	Buddhist Association of China
中国佛教协会副会长	the Vice President of the Buddhist Association of China
中国佛教协会咨议委员会	the Consulting Committee of Buddhist Association of China
中国佛教协会直属寺院执事培训班	Training Class for Executives of Monasteries Directly under the Buddhist Association of China
中国光彩事业促进会	China Glory Society
中国光彩社区服务产业集团	the China Glory Community Service Group
中国公益节	China Charity Festival
中国共产党第十八次全国代表大会	the 18th People's Congress
中国农业大学	China Agriculture University
中国冶金报	China Metallurgical News
中国反邪教协会	China Anti-Cult Association
中国发展出版社	China Development Press
中国国际乐活暨有机活力农耕论坛	China International LOHAS & Organic and Biodynamic Agriculture Forum
中国国际友好联络会	China Association for International Friendly Contact (CAIFC)
中国图书馆年会	Annual Conference of China’s Libraries
中国地质大学	China University of Geosciences
中国宗教学会	Religious Society of China
中国宗教杂志社	China Religion Magazine Office
中国宗教界和平委员会	China Committee on Religion and Peace
中国广播网	The Chinese Radio Network
中国政法大学	China University of Political Science and Law
中国政法大学逸夫会议中心	Yifu Conference Center of China University of Political Science and Law
中国教师发展基金会	Chinese Foundation for Teacher Development
中国教育学会	Chinese Society of Education
中国新闻网	Chinanews
中国新闻周刊网	China Newsweek
中国日报	China Daily
中国检察官协会	the Prosecutor Associationnof China
中国汉传佛教历代经籍目录通检	the classic sutra catalogues index of Chinese Buddhism
中国灵山公益慈善促进会	The inauguration of China Lingshan Philanthropy Promotion Association
中国电子文件管理论坛	China Electronic Records Management Forum
中国矿业大学	China University of Mining and Technology
中国社会科学报	Chinese Social Sciences
中国社会科学院世界宗教研究所	Institute of World Religions of the Chinese Academy of Social Sciences
中国社会科学院梵文研究中心	Chinese Academy of Social Sciences, Sanskrit Research Center
中国科学技术协会	China Associations for Science and Technology
中国科学院心理研究所	The Psychology Institute, Chinese Academy of Sciences (CAS)
中国科技馆	China Science and Technology Museum
中国科技会堂	China Hall of Science and Technology
中国移动开发者大会	China Mobile Developer Conference
中国税务学会	Chinese Tax Institute
中国网络科学论坛	China Network Science Forum
中国翻译协会	China Translators Association (CTA)
中国艺术研究院宗教艺术中心	Religious Art Center of Chinese National Arts Academy
中国艺术研究院非物质文化遗产研究保护中心	China Intangible Cultural Heritage Protection Center of Chinese National Arts Academy
中国藏语系高级佛学院	High-level Tibetan Buddhism College of China
中国财富出版社	China Fortune Press
中国贸易报	China Trade News
中国道教协会	Chinese Taoist Association
中国邮政	China Post
中国青年报	China Youth Daily
中国非公募基金会	China Private Foundation Forum (CPFF)
中央党校中央国家机关分校	Central Government Organs Branch School of Central Party School
中央党校中直机关分校/中央党校中直分校	Central Government Organs Branch School of Central PartySchool
中央民族大学	Central University of Nationalities
中央民族大学哲学及宗教学院	Philosophy and Religion College of Central University for Nationalities
中央电视台	CCTV
中央社会主义学院	Central Institute of Socialism
中央统战部	the United Front Work Department of CPC Central Committee
中央美院	Central Academy of Fine Arts (CAFA)
中央财经大学	Central University of Finance and Economics
中宣部	Publicity Department of the CPC Central Committee
中新社	China News Agency
中欧国际工商学院	China Europe International Business School
中秋节	Mid-Autumn Festival
中秋佳节	Mid-Autumn Festival
